coffee_id,Country_of_Origin,Farm_Name,Mill,Company,Altitude,Region,Producer,Number_of_Bags,Bag_Weight,In_Country_Partner,Harvest_Year,Owner,Variety,Status,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Defects,Total_Cup_Points,Moisture,Color,Category_One_Defects,Category_Two_Defects,Quakers,Certification_Body,parsed_expiration,parsed_grading_date
#647123,Guatemala,San Francisco Cotzal,"inmobiliaria e inversiones dos mil, s.a.","inmobiliaria e inversiones dos mil, s.a.",1600,quiche,san francisco cotzal,275,69,Asociacion Nacional Del Café,2021 / 2022,Angelica Paola Citan Lopez,Caturra,Completed,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,10,10,10,7.92,0,84.92,0.117,Green,0,1,3,Asociacion Nacional Del Café,2023-06-22,2022-06-22
#927000,Guatemala,San Jose del Lago,San jose del lago,"Peter Schoenfeld, S.A.",1600,Atitlán,"Cafetalera Paquim, S.A.",35,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Bourbon,Completed,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10,10,10,7.75,0,83.92,0.1,Green,0,2,1,Asociacion Nacional Del Café,2024-04-16,2023-04-17
#902618,Guatemala,Varias Fincas,El Trèbol/Lìnea Gourmet,"Peter Schoenfeld, S.A.",1550,Oriente Santa rosa,varios productores,430,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10,10,10,7.67,0,84.08,0.11,Green,0,2,1,Asociacion Nacional Del Café,2024-03-21,2023-03-22
#781706,Guatemala,San Jose del Lago,San jose del lago,"Peter Schoenfeld, S.A.",1600,Atitlán,"Cafetalera Paquim, S.A.",55,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Typica,Completed,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10,10,10,7.75,0,84.25,0.1,Green,0,1,0,Asociacion Nacional Del Café,2024-04-16,2023-04-17
#237025,Guatemala,Finca Alta Luz,NULL,"Retrillas del pacifico, s.a.",1350,Huehuetenango,Maria de los Angeles Perez,600,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Bourbon,Completed,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10,10,10,7.75,0,84.33,0.092,Green,0,5,1,Asociacion Nacional Del Café,2024-04-25,2023-04-26
#932904,Guatemala,Varias Fincas,El Trebol/Linea Gourmet,"Peter Schoenfeld, S.A.",1550,Sierra de las minas,varios productores,200,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10,10,10,7.75,0,84,0.11,Green,0,2,2,Asociacion Nacional Del Café,2024-03-21,2023-03-22
#614786,Guatemala,PEÑA Blanca,BENEFICIO LAS AMERICAS,"OLAM AGRO GUATEMALA, S.A.",1432,Santa Rosa,PABLO CHUY,632,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Catuai,Completed,Washed / Wet,7.67,8,7.75,7.92,8,7.83,10,10,10,7.83,0,85,0.113,Green,0,4,0,Asociacion Nacional Del Café,2024-02-23,2023-02-23
#975481,Guatemala,Varias Fincas,Varios Beneficios,"Peter Schoenfeld, S.A.",1600,Huehuetenango,Varios Productores,600,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,8,7.67,7.83,7.92,7.67,10,10,10,7.92,0,84.67,0.106,Green,0,1,0,Asociacion Nacional Del Café,2024-04-27,2023-04-28
#938229,Guatemala,Varias Fincas,Beneficio Pastores,"Peter Schoenfeld, S.A.",1600,Antigua,Varios productores,600,30,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Caturra,Completed,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,10,10,10,7.83,0,85,0.099,Green,0,1,1,Asociacion Nacional Del Café,2024-04-16,2023-04-17
#797284,Guatemala,Fina las Rosas,NULL,"Retrillas del pacifico, s.a.",1500,Huehuetenango,Rolando Belarmino Villatoro Villatoro,275,69,Asociacion Nacional Del Café,2022 / 2023,Yesica Alejandra Martìnez Vàsquez,Bourbon,Completed,Washed / Wet,7.67,7.92,7.67,7.75,7.75,7.75,10,10,10,7.75,0,84.25,0.107,Green,0,3,1,Asociacion Nacional Del Café,2024-05-14,2023-05-15
